"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Mar 24, 2025","86070.93","88758.73","85541.20","87498.91","87498.91","34582604933"
"Mar 23, 2025","83831.90","86094.78","83794.91","86054.38","86054.38","12594615537"
"Mar 22, 2025","84046.26","84513.88","83674.78","83832.48","83832.48","9863214091"
"Mar 21, 2025","84164.54","84782.27","83171.07","84043.24","84043.24","19030452299"
"Mar 20, 2025","86872.95","87443.27","83647.20","84167.20","84167.20","29028988961"
"Mar 19, 2025","82718.80","87021.19","82569.73","86854.23","86854.23","34931960257"
"Mar 18, 2025","84075.72","84075.72","81179.99","82718.50","82718.50","24095774594"
"Mar 17, 2025","82576.34","84725.33","82492.16","84075.69","84075.69","25092785558"
"Mar 16, 2025","84333.32","85051.60","82017.91","82579.69","82579.69","21330270174"
"Mar 15, 2025","83968.41","84672.67","83639.59","84343.11","84343.11","13650491277"
"Mar 14, 2025","81066.99","85263.29","80797.56","83969.10","83969.10","29588112414"
"Mar 13, 2025","83724.92","84301.70","79931.85","81066.70","81066.70","31412940153"
"Mar 12, 2025","82857.38","84358.58","80635.25","83722.36","83722.36","40353484454"
"Mar 11, 2025","78523.88","83577.76","76624.25","82862.21","82862.21","54702837196"
"Mar 10, 2025","80597.15","83955.93","77420.59","78532.00","78532.00","54061099422"
"Mar 9, 2025","86154.30","86471.13","80052.48","80601.04","80601.04","30899345977"
"Mar 8, 2025","86742.66","86847.27","85247.48","86154.59","86154.59","18206118081"
"Mar 7, 2025","89963.28","91191.05","84717.68","86742.67","86742.67","65945677657"
"Mar 6, 2025","90622.36","92804.94","87852.14","89961.73","89961.73","47749810486"
"Mar 5, 2025","87222.95","90998.24","86379.77","90623.56","90623.56","50498988027"
"Mar 4, 2025","86064.07","88911.27","81529.24","87222.20","87222.20","68095241474"
"Mar 3, 2025","94248.42","94429.75","85081.30","86065.67","86065.67","70072228536"
"Mar 2, 2025","86036.26","95043.44","85040.21","94248.35","94248.35","58398341092"
"Mar 1, 2025","84373.87","86522.30","83794.23","86031.91","86031.91","29190628396"
"Feb 28, 2025","84705.63","85036.32","78248.91","84373.01","84373.01","83610570576"
"Feb 27, 2025","84076.86","87000.78","83144.96","84704.23","84704.23","52659591954"
"Feb 26, 2025","88638.89","89286.25","82131.90","84347.02","84347.02","64597492134"
"Feb 25, 2025","91437.12","92511.08","86008.23","88736.17","88736.17","92139104128"
"Feb 24, 2025","96277.96","96503.45","91371.74","91418.17","91418.17","44046480529"
"Feb 23, 2025","96577.80","96671.88","95270.45","96273.92","96273.92","16999478976"
"Feb 22, 2025","96134.20","96950.16","95765.34","96577.76","96577.76","18353824477"
"Feb 21, 2025","98340.67","99497.97","94852.96","96125.55","96125.55","49608706470"
"Feb 20, 2025","96632.68","98767.20","96442.67","98333.94","98333.94","31668022771"
"Feb 19, 2025","95532.53","96855.59","95011.97","96635.61","96635.61","28990872862"
"Feb 18, 2025","95773.81","96695.38","93388.84","95539.55","95539.55","37325720482"
"Feb 17, 2025","96179.01","97032.23","95243.55","95773.38","95773.38","27336550690"
"Feb 16, 2025","97580.49","97725.59","96060.98","96175.03","96175.03","16536755396"
"Feb 15, 2025","97508.38","97975.04","97240.20","97580.35","97580.35","17047266288"
"Feb 14, 2025","96623.37","98819.47","96342.80","97508.97","97508.97","32697987277"
"Feb 13, 2025","97888.75","98111.09","95269.71","96623.87","96623.87","37147280860"
"Feb 12, 2025","95745.70","98151.02","94101.20","97885.86","97885.86","49340445530"
"Feb 11, 2025","97438.13","98492.90","94875.04","95747.43","95747.43","37488783272"
"Feb 10, 2025","96499.46","98333.22","95320.84","97437.55","97437.55","40078962391"
"Feb 9, 2025","96481.31","97325.28","94745.26","96500.09","96500.09","27732901800"
"Feb 8, 2025","96533.26","96877.80","95702.49","96482.45","96482.45","22447526395"
"Feb 7, 2025","96581.32","100154.14","95653.88","96529.09","96529.09","55741290456"
"Feb 6, 2025","96610.64","99168.61","95707.35","96593.30","96593.30","45302471947"
"Feb 5, 2025","97878.01","99113.21","96174.83","96615.45","96615.45","49125911241"
"Feb 4, 2025","101398.72","101745.62","96208.11","97871.82","97871.82","73002130211"
"Feb 3, 2025","97681.10","102514.17","91242.89","101405.42","101405.42","115400897748"
"Feb 2, 2025","100661.54","101430.66","96216.08","97688.98","97688.98","63091816853"
"Feb 1, 2025","102402.80","102755.73","100297.71","100655.91","100655.91","27757944848"
"Jan 31, 2025","104737.56","106026.35","101543.88","102405.02","102405.02","45732764360"
"Jan 30, 2025","103709.34","106418.77","103321.65","104735.30","104735.30","41915744521"
"Jan 29, 2025","101317.52","104750.80","101283.82","103703.21","103703.21","47432049818"
"Jan 28, 2025","102095.41","103730.82","100238.19","101332.48","101332.48","47180685494"
"Jan 27, 2025","102680.30","103214.11","97795.94","102087.69","102087.69","89006608428"
"Jan 26, 2025","104713.21","105438.65","102507.71","102682.50","102682.50","22543395879"
"Jan 25, 2025","104824.03","105243.79","104120.38","104714.65","104714.65","23888996502"
"Jan 24, 2025","103965.67","107098.55","102772.13","104819.48","104819.48","52388229265"
"Jan 23, 2025","103657.67","106820.33","101257.80","103960.17","103960.17","104104515428"
"Jan 22, 2025","106136.38","106294.34","103360.27","103653.07","103653.07","53878181052"
"Jan 21, 2025","102052.58","107180.92","100103.95","106146.27","106146.27","88733878242"
"Jan 20, 2025","101083.75","109114.88","99471.36","102016.66","102016.66","126279678351"
"Jan 19, 2025","104411.29","106299.80","99570.53","101089.61","101089.61","76789928525"
"Jan 18, 2025","104124.95","104913.20","102226.62","104408.07","104408.07","50445655726"
"Jan 17, 2025","100025.77","105884.23","99948.91","104462.04","104462.04","71888972663"
"Jan 16, 2025","100505.30","100781.59","97364.45","99756.91","99756.91","54103781805"
"Jan 15, 2025","96534.05","100697.23","96501.64","100504.49","100504.49","57805923627"
"Jan 14, 2025","94519.01","97352.66","94322.16","96534.05","96534.05","53769675818"
"Jan 13, 2025","94488.89","95837.00","89260.10","94516.52","94516.52","72978998252"
"Jan 12, 2025","94565.73","95367.54","93712.51","94488.44","94488.44","20885130965"
"Jan 11, 2025","94700.84","94977.69","93840.05","94566.59","94566.59","18860894100"
"Jan 10, 2025","92494.49","95770.61","92250.09","94701.45","94701.45","62058693684"
"Jan 9, 2025","95043.48","95349.72","91220.84","92484.04","92484.04","62777261693"
"Jan 8, 2025","96924.16","97258.32","92525.84","95043.52","95043.52","63875859171"
"Jan 7, 2025","102248.85","102712.48","96132.88","96922.70","96922.70","58685738547"
"Jan 6, 2025","98314.95","102482.88","97926.15","102078.09","102078.09","51823432705"
"Jan 5, 2025","98233.91","98813.30","97291.77","98314.96","98314.96","20525254825"
"Jan 4, 2025","98106.99","98734.43","97562.98","98236.23","98236.23","22342608078"
"Jan 3, 2025","96881.73","98956.91","96034.62","98107.43","98107.43","35611391163"
"Jan 2, 2025","94416.29","97739.82","94201.57","96886.88","96886.88","46009564411"
"Jan 1, 2025","93425.10","94929.87","92788.13","94419.76","94419.76","24519888919"
"Dec 31, 2024","92643.25","96090.60","91914.03","93429.20","93429.20","43625106843"
"Dec 30, 2024","93527.20","94903.32","91317.13","92643.21","92643.21","56188003691"
"Dec 29, 2024","95174.05","95174.88","92881.79","93530.23","93530.23","29635885267"
"Dec 28, 2024","94160.19","95525.90","94014.29","95163.93","95163.93","24107436185"
"Dec 27, 2024","95704.98","97294.84","93310.74","94164.86","94164.86","52419934565"
"Dec 26, 2024","99297.70","99884.57","95137.88","95795.52","95795.52","47054980873"
"Dec 25, 2024","98675.91","99478.75","97593.47","99299.20","99299.20","33700394629"
"Dec 24, 2024","94684.34","99404.06","93448.02","98676.09","98676.09","47114953674"
"Dec 23, 2024","95099.39","96416.21","92403.13","94686.24","94686.24","65239002919"
"Dec 22, 2024","97218.32","97360.27","94202.19","95104.94","95104.94","43147981314"
"Dec 21, 2024","97756.20","99507.10","96426.52","97224.73","97224.73","51765334294"
